,Class,NER
9238,EVENT,第十一屆會員代表大會
3959,EVENT,頒獎典禮
33528,EVENT,美國獨立革命
33534,EVENT,一次世界大戰
3966,EVENT,迎春宴
21600,EVENT,寶來之美全國油畫比賽
21580,EVENT,立院民進 黨黨團會議
25656,EVENT,立委選戰
10618,EVENT,高雄市市長盃扯鈴 暨民俗體育錦標賽
25681,EVENT,三一八學運
13784,EVENT,祝福之舞
13789,EVENT,印尼峇里島迎賓舞
13823,EVENT,○二○六地震
33638,EVENT,廟週年慶
39721,EVENT,高美館
39725,EVENT,愛 第九屆二零一五、一六傳統與實驗書藝雙年展
30407,EVENT,Formosa雕塑雙年展
10556,EVENT,太平洋藝術節
21272,EVENT,春節花卉展
13917,EVENT,槌球錦標賽
13588,EVENT,八八風災
13583,EVENT,台南大地震
13579,EVENT,二二八
6261,EVENT,冠軍爭奪戰
22361,EVENT,中常會
13150,EVENT,華開幕式
13156,EVENT,客庄十二大節慶
42786,EVENT,李長 榮大社廠復工審查會
24870,EVENT,運動健身．快樂人生－環山健行趣
10755,EVENT,二Ｏ一六六堆嘉年華活動
13176,EVENT,祭祀典禮
6422,EVENT,小營養午餐整合研討會
13210,EVENT,COP11蒙特婁氣候變遷大會
43441,EVENT,國際書展暨蔬食博覽會
10744,EVENT,第五十一屆六堆運動會
22174,EVENT,風華再現•城市文化再生 新亮點
10741,EVENT,大武山下的小奧運
10721,EVENT,六堆運動會
6349,EVENT,燕巢區社區公車永續經營公聽會
3869,EVENT,高雄環狀輕軌捷運建設第二階段統包工程
6333,EVENT,宋江陣頭大賽
43051,EVENT,岡山聯合競選總部成立大會
30724,EVENT,高雄市登革熱疫情
6272,EVENT,治安會報
41019,EVENT,五輕
2313,EVENT,全國黨代表大會
25829,EVENT,全國總動員
10531,EVENT,拉庫斯溪復興橋上游土石防治二 期工程
39772,EVENT,四重溪溫泉季活動
20838,EVENT,世界運動大會
14507,EVENT,中華書道學會作品聯展
20805,EVENT,蘇迪勒颱風
29720,EVENT,總統選舉
589,EVENT,普度法會
39774,EVENT,暖冬高屏溫泉之旅
37504,EVENT,仁武競選總部成立大會
40839,EVENT,八八水災
14580,EVENT,高雄哈客嘉年華會
14582,EVENT,美的總動員－藝術家展覽會
14634,EVENT,太陽花學運
20440,EVENT,70週年慶
29606,EVENT,2016高雄愛Sharing夢時代跨年晚會
34250,EVENT,高雄市都會南區原住民老 人日間關懷站結業活動
37449,EVENT,灣利里與喬佑後援會成立大會
20382,EVENT,道教嘉年華會
5882,EVENT,大 魯閣草衙道
26324,EVENT,彌陀國中校 舍新建工程
24052,EVENT,馬王政爭
633,EVENT,幸福家庭、兒童嘉年華會
10387,EVENT,高雄捷運
14388,EVENT,林家血案
14010,EVENT,文化觀光公車好好玩
30396,EVENT,二零一五 Formosa雕塑雙年展
43457,EVENT,國際書展和蔬食博覽會
21102,EVENT,馬拉松路跑
6075,EVENT,紅火案
6069,EVENT,龍潭現金案
6065,EVENT,新聞夜總會
33835,EVENT,佛光大佛
43485,EVENT,大台南國際旅展
21268,EVENT,美術北三路住宅大樓新建工程
14292,EVENT,二二八事件
14305,EVENT,二二八林宅血案
14315,EVENT,二二八慘案
21058,EVENT,南橫馬拉松活動
37667,EVENT,愛老婆運動
14333,EVENT,高雄市二二八和平紀念活動
40892,EVENT,莫拉克颱風災
21052,EVENT,南橫馬拉松賽
14354,EVENT,高屏地區二二八
6041,EVENT,第二屆族語單詞競賽活動
21072,EVENT,星光歡迎會
34307,EVENT,三十週年慶
13076,EVENT,美的總動員 －藝術家展覽會
13025,EVENT,奧運
32683,EVENT,馬雅各來臺一百五十週年紀念特展活動
31790,EVENT,ＰＡＲＴＹ
39252,EVENT,遷廠後周邊地區總體開發
3384,EVENT,美麗島事件
24456,EVENT,台灣國際遊艇展
24475,EVENT,台灣國際遊艇 展
12041,EVENT,法國巴黎食品展
12047,EVENT,德國科隆食品展
12050,EVENT,東京國際食品展
23448,EVENT,和家盃
12114,EVENT,五年前三一一東日本大震災
12117,EVENT,促進日台經濟文化交流青年議員會
23421,EVENT,二○一六全國第六十屆和家盃排球錦標賽
6861,EVENT,全國漆彈大賽開幕典禮
23418,EVENT,高雄區農業改良場
3005,EVENT,民主進步黨第十六屆第一次臨時全國黨代表大會
23316,EVENT,幸福年菜呷辦桌
6846,EVENT,全國最大漆彈賽事
41254,EVENT,吉祥物PK戰
32671,EVENT,馬雅各來臺一百五十 週年紀念特展
41971,EVENT,眷村文物展
11835,EVENT,莫拉克
38679,EVENT,大阪藝術博覽會
11445,EVENT,高雄國際旅展
1521,EVENT,五二０
32057,EVENT,清庄事件
32084,EVENT,食安風暴
23989,EVENT,六台灣國際遊艇展
1476,EVENT,小港沿海六里遷村推動小組
23964,EVENT,環境影響評估審查委 員會第三十三次會議
7293,EVENT,三讀會
39089,EVENT,高雄鐵路地 下化之整體規劃與未來發展
10968,EVENT,國際同濟會二○一六亞太年會
7421,EVENT,全國兒童才藝總決賽
24209,EVENT,趙評彩繪衣衫展
